brand,model,price,kmpl,bhp,type
Volkswagen,Vento,785,16.1,104,Sedan
Hyundai,Verna,774,17.4,106,Sedan
Skoda,Rapid,756,15,104,Sedan
Suzuki,Ciaz,725,20.7,91,Sedan
Renault,Scala,724,16.9,98,Sedan
Suzuki,SX4,715,16.5,103,Sedan
Fiat,Linea,700,15.7,112,Sedan
Nissan,Sunny,699,16.9,98,Sedan
Fiat,Linea Classic,612,14.9,89,Sedan
Toyota,Etios,603,16.8,89,Sedan
San,Storm,595,16,59,Sedan
Chevrolet,Sail,551,18.2,82,Sedan
Volkswagen,Polo,535,16.5,74,Hatchback
Hyundai,i20,523,18.6,82,Hatchback
Honda,Amaze,519,18,87,Sedan
Suzuki,Swift DZire,508,19.1,86,Sedan
Ford,Classic,506,14.1,100,Sedan
Skoda,Fabia,503,16.4,75,Hatchback
Toyota,Etios Liva,500,17.7,79,Hatchback
Fiat,Punto Evo,499,15.8,67,Hatchback
Tata,Indigo,499,14,65,Sedan
Hyundai,Xcent,496,19.1,82,Sedan
Tata,Zest,481,17.6,89,Sedan
Chevrolet,Sail Hatchback,468,18.2,82,Hatchback
Suzuki,Swift,462,20.4,83,Hatchback
Renault,Pulse,446,18,74,Hatchback
Suzuki,Ritz,442,18.5,86,Hatchback
Chevrolet,Beat,421,18.6,79,Hatchback
Honda,Brio,421,19.4,87,Hatchback
Hyundai,i10,418,19.8,68,Hatchback
Ford,Figo,414,15.3,70,Hatchback
Nissan,Micra,413,19.5,67,Hatchback
Suzuki,Celerio,392,23.1,67,Hatchback
Suzuki,Wagon-R,363,20.5,67,Hatchback
Volkswagen,Up,360,21,74,Hatchback
Chevrolet,Spark,345,16.2,62,Hatchback
Suzuki,Estilo,338,19,67,Hatchback
Suzuki,Alto,315,24.1,67,Hatchback
Nissan,Datsun GO,312,20.6,67,Hatchback
Hyundai,EON,302,21.1,55,Hatchback
Suzuki,Alto 800,248,22.7,47,Hatchback
Tata,Nano,199,23.9,38,Hatchback